Part Number,QtyRealTimeOnHand,QtyOnPurchaseOrder,Minimum_Stock_Level
AV-201,8544.07,0,1000
AV-BASE-BK,17800.19,0,5000
AV-BASE-SNAP,17120.415,0,10000
AV-BASE-WH,43355.181,0,25000
AV-BOX,126,0,100
AV-CH,4763,0,1500
AV-CH-PA,667,0,0
AV-CH-PG,1575,0,0
AV-CH-SA,0.66,0,500
AV-CH-WH,1033.501,0,500
AV-CL,1474,0,1000
AV-CONN,12408,0,5000
AV-CONTACT,84824.074,0,50000
AV-CV-CL,2974.999,0,1500
AV-CV-WH,1853.495,0,1500
AV-EC-BK,725,0,125
AV-EC-SV,451,0,125
AV-EC-WH,196,0,125
AV-LCH,10740,0,1500
AV-LCH-BK,849.7,0,0
AV-LCH-PA,199.995,0,0
AV-LCH-PG,1099.64,0,0
AV-LCH-SA,4164.2,0,500
AV-LCH-WH,480.45,0,500
AV-LEC-BK,1924,0,125
AV-LEC-SV,494,0,125
AV-LEC-WH,872,0,125
AV-LNS,26487,0,4000
AV-MC,1279.397,0,2500
AV-MC-BK,4300,0,1000
AV-MS,6198,0,1000
AV-RB-BK,12850,0,2500
AV-RB-WH,5504,0,5000
AV-RF,63884.696,0,2500
AV-RF-A,4200,0,2500
AV-RF-S,18000,0,5000
AV-TOWER-BK,14500,0,5000
AV-TOWER-WH,42300.186,0,25000
AVLED-4000K,0,0,0
AVLED-IW,4579,0,5000
AVLED-KC,2849,0,2500
AVLED-LW,1551,0,0
AVLED-WW,10036.93,0,10000
AVLED-WW-G1,1068,0,0
AVO-BKT-V,523,0,0
AVO-CLMP-BASE,705,0,0
AVO-ED-CL,2459,0,0
AVO-EL-CL,1586,0,0
AVO-ELC-CL,1586,0,0
AVO-END-SCREW,3166,0,0
AVO-EXT,7474.75,0,0
AVO-HOLD-BK,610,0,0
AVO-NUT-BK,4839,0,0
AVO-TUBE-2.5M,218.22,0,0
AVWH-T-FR,620,0,250
AVWH-T-MP,645,0,250
AVXF-100,6449,0,3280
AVXF-2700K,140.388,0,0
AVXF-3500K,1682.56,0,0
AVXF-4000K,354.96,0,0
AVXF-60,3445.989,0,2000
AVXF-75,2676.785,0,2500
AVXF-CP,5931,0,2000
AVXF-IW,9181.681,0,5000
AVXF-KC,5000,0,0
AVXF-MC,4471.6,0,1500
AVXF-WW,12572.454,0,10000
BB-301,4440.616,0,5000
C2-120-12V,1,0,0
C2-12DC-RPG,86,0,0
C2-192-24V,0,0,0
C2-240-12V,3,0,0
C2-24DC-RPG,117,0,0
C2-288-24V,0,0,0
C2-288-24V/277,2,0,0
C2-300-12V,1,0,0
C2-300-12V/277,0,0,0
C2-40-24V,157,0,50
C2-480-24V,10,0,0
C2-480-24V/277,0,0,0
C2-50-24V,220,0,50
C2-60-12V,40,0,25
C2-60E/PG,50,0,0
C2-6DC-RPG,63,0,0
C2-6PG,67,0,0
C2-8DC-RPG,102,0,0
C2-8PG,65,0,0
C2-96-24V,129,0,50
C2-96-24V/277,9,0,0
CABLE-BK,32212.517,22000,50000
CABLE-CAT5-25,324,0,50
CABLE-CAT5-50,75,0,25
CABLE-DMX,1399.83,0,300
CABLE-GR,800,0,0
CABLE-KS,0,0,0
CABLE-WH,61144.923,0,50000
CC-40-DIODE,12,0,0
CC-BOX,84,0,0
CC-LENS,121,0,0
CL-100,2699.8,0,1000
CL-150,3199.997,0,1000
CL-201,5980.238,0,0
CL-202,8875.842,0,5000
CL-203,7121.59,0,10000
CL-30,2794.24,0,3280
CL-300,600,0,0
CL-50,5299.52,0,3280
CL-60,0.11,0,0
CL-80,1900.44,0,1000
CL-AM,2000,0,0
CL-BL,1000,0,0
CL-GR,1000,0,0
CL-IW,250,0,0
CL-RD,1000,0,0
CL-SO,1000,0,0
CL-WH,1000,0,0
CLED-2000K,11355.43,0,10000
CLED-2500K,30493.57,0,20000
CLED-3000K,11969.45,0,10000
CLED-5000K,6827.86,0,5000
CLED-AM,5887.52,0,2500
CLED-BL,2564.97,0,2500
CLED-GR,6616.36,0,2500
CLED-RD,4707.33,0,2500
CR-B,4500.18,0,5000
CR-BL,729,0,0
CR-DF,4170.81,0,1000
CR-EC,620,0,500
CR-GL,2605,0,0
CR-KB,2700,0,1000
CR-LV,1726,0,0
CR-RD,607,0,0
CR-RS,470,0,0
CR-S,2936.64,0,5000
CR-TL,1191,0,0
CT-B,12403.37,0,5000
CT-BL,1185,0,0
CT-DF,4554.65,0,1000
CT-EC,696,0,500
CT-GL,530,0,0
CT-KB,1104,0,1000
CT-LV,1017,0,0
CT-RD,916,0,0
CT-RS,428,0,0
CT-S,8282.22,0,5000
CT-TL,777,0,0
CTO-CP,7748,0,2500
DC-CONN,580,0,0
DMX-CTR,0,0,0
DMX-CTR-B,0,0,0
DMX-CTR-W,0,0,0
DOOSH-2F,15,0,0
DOOSH-2M,45,0,0
EC-B,192,0,0
EC-BK,2585,0,500
EC-D,3460,0,0
EC-FL,7195,0,1000
EC-L,8438,0,1000
EC-M,4631,0,1000
EC-PG,1376,0,500
EC-SC,2673,0,500
EC-TXA,974,0,0
EC-W,691,0,250
ECD-BK,8864,0,1000
ECD-CL,8754,0,1000
ECD-WH,1465,0,1000
ECL-BK,4903,0,1000
ECL-CL,6852,0,1000
ECL-WH,1581,0,1000
ECM-L,2687,0,1000
ECW-L,3540,0,1000
EMC-500-ATLA,0,0,0
EMC-CON-500,0,0,0
EMC-CON-500-90D,0,0,0
ENCL12124,2,0,0
EX-112,500.095,0,0
EX-124,11531.323,0,5000
EX-212,3945.457,0,0
EX-BL,2650.264,0,1000
EX-CAP,0.916,0,0
EX-CB,950,0,0
EX-CNT,40425.755,20000,20000
EX-CS-P,164,0,0
EX-CS1,35,0,0
EX-CS2,158,0,0
EX-CS3,6,0,0
EX-CS4,90,0,0
EX-CUBE-CL,0,0,0
EX-CUBE-RD,0,0,0
EX-EB,18,0,0
EX-G14-CL,8601.321,0,2800
EX-G14-FR,3342.826,5600,2800
EX-GR,1399.664,0,1000
EX-LSK-BK,15151.285,10000,10000
EX-LSK-WH,14763.308,0,10000
EX-MA-BK,889,0,0
EX-MA-WH,3669,0,0
EX-MD-BK,14402,0,5000
EX-MD-BK-old,10244,0,0
EX-MD-WH,4229,0,5000
EX-MD-WH-old,9744,0,0
EX-MDA-BK,4942,10000,10000
EX-MDA-WH,6091,0,5000
EX-MDASCR,6797,0,0
EX-MS-BK,11348,0,5000
EX-MS-WH,7464,0,5000
EX-OR,1424.644,0,1000
EX-OR-03,7312.73,0,0
EX-OR-22,51374.891,0,40000
EX-ORING,2419.8,0,0
EX-PEND,171,0,50
EX-PL,1319.764,0,1000
EX-RD,1692.264,0,1000
EX-RGB-300,2507,0,0
EX-RGB-LEAD,296,0,0
EX-S-AM,945.55,0,0
EX-S-BL,915,0,0
EX-S-CL,2593.58,0,0
EX-S-FR,1812.04,0,0
EX-S-GR,846,0,0
EX-S-RD,483,0,0
EX-S-VL,953,0,0
EX-S14-CL,1851.334,4704,2500
EX-S14-FR,3626.516,6762,2500
EX-SCR,73023.507,40000,40000
EX-SCREW,7000,0,0
EX-SH,6932.986,300,5000
EX-SILICONE,111.43,0,0
EX-SKT-BK,245,0,0
EX-SKT-WH,1552.84,0,0
EX-SPH-AM,856.676,0,1000
EX-SPH-BL,2268.008,0,1000
EX-SPH-CL,5970.303,16800,5000
EX-SPH-FR,6708.983,5600,5000
EX-SPH-GR,1274.972,0,1000
EX-SPH-RD,1925.553,0,1000
EX-SPH-VL,1605.926,0,1000
EX-TK,9,0,0
EX-UB-IW,2906.087,0,0
EX-UB-LW,7182.498,0,5000
EX-UB-WW,6815.439,5000,5000
EX-USK-BK,19491.647,10000,10000
EX-USK-WH,12138.121,0,10000
EX-VI-IW,2822.656,0,0
EX-VI-LW,6744.484,0,5000
EX-VI-WW,3031.523,10000,5000
EX-WH,2847.916,0,2500
EX-WR,0,0,0
EX-WW,4929.198,0,5000
EX-YG,2032.384,0,1000
EXC-EC,775,0,200
EXC-SPL,2215,0,200
EXCH-B-NA,7925,0,1000
EXCH-B-PA,164,0,0
EXCH-B-PG,482,0,0
EXCH-B-SA,3615.586,0,1000
EXCH-B2-BK,620,0,1000
EXCH-B2-NA,540,0,1000
EXCH-B2-SA,2179,0,1000
EXCH-B2-WH,920,0,1000
EXCH-C-BK,460,0,1000
EXCH-C-NA,8820,0,1000
EXCH-C-PA,205,0,0
EXCH-C-PG,451,0,0
EXCH-C-SA,1022.586,0,2000
EXCH-C-WH,939,0,1000
EXSS-CABLE,800,0,0
FILTER-DIFFUSER,400,0,0
FILTER-KB,0,0,0
FL-200,3600,0,2000
FL-300,2430,0,2000
FL-400,1000,0,0
FLBK,7354.921,0,0
FLBK-110-HM,5017.47,0,2500
FLBK-160-HM,10167.525,0,5000
FLBK-210-HM,7572.989,0,5000
FLBK-310-HM,7613.352,0,5000
FLBK-410-HM,7133.168,0,2500
FLBK-60-HM,3036.153,0,2500
