Part Number,Factor
AVXF-100,0.328
AVXF-60,0.1968
AVXF-75,0.246
CL-100,3.28
CL-150,3.28
CL-30,3.28
CL-300,3.28
CL-50,3.28
CL-60,3.28
CL-80,3.28
FLBK,3.28
FLBK-110-HM,0.3608
FLBK-160-HM,0.5248
FLBK-210-HM,0.6888
FLBK-310-HM,1.0168
FLBK-410-HM,1.3448
FLBK-60-HM,0.1968
FLGR,3.28
FLWG,3.28
FLWG-110-HM,0.3608
FLWG-160-HM,0.5248
FLWG-210-HM,0.6888
FLWG-310-HM,1.0168
LSB-100,3.28
LSB-150,3.28
LSB-30,3.28
LSB-300,3.28
LSB-50,3.28
LSB-80,3.28
LSC,3.28
LSC-100,3.28
LSC-150,3.28
LSC-30,3.28
LSC-300,3.28
LSC-50,3.28
LSC-80,3.28
LSW-100,3.28
LSW-15,3.28
LSW-150,3.28
LSW-30,3.28
LSW-300,3.28
LSW-50,3.28
LSW-80,3.28
LUM-100-2200,0.328
LUM-100-3000,0.328
LUM-100-4500,0.328
LUM-100-BL,0.328
LUM-100-IW,0.328
LUM-100-RD,0.328
LUM-100-WH,0.328
LUM-150-3000,0.492
LUM-150-4500,0.492
LUM-150-IW,0.492
LUM-310-IW,1.0168
LUM-50-2200K,0.164
LUM-50-3000,0.164
LUM-50-4500,0.164
LUM-50-BL,0.164
LUM-50-IW,0.164
LUM-50-IW-F,0.164
LUM-50-RD,0.164
LUM-50-WH,0.164
LUM-75-BL,0.246
LUM-75-IW,0.246
LUM-75-RD,0.246
LUM-LEAD,3.28
TLP-100,3.28
TLP-150,3.28
TLP-30,3.28
TLP-300,3.28
TLP-50,3.28
TLP-80,3.28
TLW-100,3.28
TLW-150,3.28
TLW-25,3.28
TLW-30,3.28
TLW-300,3.28
TLW-50,3.28
TLW-80,3.28
TRI-100-RGB,0.328
TRI-100-RGB-BK,0.328
TRI-150-RGB,0.328
TRI-300-RGB,0.984
TRI-50-RGB,0.164
TRI-80-RGB,0.2624
TRI-LEAD,3.28
TRI-MT,8.528
TRI-MT-RD,8.528
TRI2-50-RGB,0.164
